"Theme","Index","Article","Author","Venue","Date","Method","Dataset","Metric","Novelty","Result","Link","Code","Baselines","Models","Others","Evaluation Methods","Pillar","Command_freeform","Real_time","Multi_agent","Budget_aware","Executor_type"
"5. Real-time / streaming motion","38","MotionStreamer: Streaming Motion Generation via Diffusion-based Autoregressive Model in Causal Latent Space","Lixing Xiao et al. (ZJU)","ICCV 2025","2025-03-19","Causal Temporal AutoEncoder (1D causal convs, downsample 4) into a continuous causal latent; 12-layer AR Transformer + diffusion head predicts next latents online","HumanML3D, BABEL (272-dim SMPL-6D representation)","FID, R-Precision, MM-Dist, Diversity, first-frame latency","Continuous (non-discretized) causal latents cut info loss + error accumulation; enables streaming generation","HumanML3D FID 10.724 (272-dim protocol); R@1 0.631 / R@3 0.851; Causal TAE lowest first-frame latency (no ms/FPS in tables)","https://arxiv.org/abs/2503.15451","https://github.com/zju3dv/MotionStreamer","MDM, MLD, T2M-GPT, MotionGPT, MoMask, AttT2M, FlowMDM","Causal TAE + diffusion-head AR Transformer; T5-XXL text","Streaming/online text-to-motion (your named paper); the causal-latent design","Quantitative FID/R@k on HumanML3D + first-frame latency","Executor","yes","yes","no","yes","full-body-motion"
"5. Real-time / streaming motion","39","MotionBricks: Scalable Real-Time Motions with Modular Latent Generative Model and Smart Primitives","Tingwu Wang et al. (+15 incl. Xue Bin Peng) (NVIDIA / NVlabs)","SIGGRAPH 2026 / ACM ToG","2026-04-27","Large modular latent generative backbone trained on 350k+ clips in one model; 'smart primitives' give a plug-and-play velocity/heading/style command interface, no retraining","350,000+ motion clips (open-source + proprietary)","Motion quality (SOTA claim); throughput (FPS); latency","Real-time scalable generation + a smart-primitives authoring interface; one unified backbone for 350k+ skills","~15,000 FPS at ~2 ms latency from one model; demoed on Unitree G1 humanoid","https://arxiv.org/abs/2604.24833","— (nvlabs.github.io/motionbricks)","— (SOTA claim; no baseline list in abstract)","Modular latent generative model + smart-primitive interface","Your named paper; the real-time + crowd-skill scaling angle for embodiment","— (needs full paper)","Executor","no","yes","no","yes","full-body-motion"
"5. Real-time / streaming motion","40","MoMask: Generative Masked Modeling of 3D Human Motions","Chuan Guo et al. (incl. Li Cheng, Univ. Alberta Vision & Learning Lab)","CVPR 2024","2023-11-29","Hierarchical residual VQ tokens generated by a bidirectional masked transformer (base) + a residual transformer; iterative parallel token prediction","HumanML3D, KIT-ML","FID, R-Precision, MM-Dist, inference time","Residual/hierarchical quantization + generative masked modeling for high-fidelity editable text-to-motion; parallel (non-AR) decoding","HumanML3D FID 0.045 (vs 0.141 T2M-GPT); KIT-ML FID 0.228 (vs 0.514); ~0.081 s/motion","https://arxiv.org/abs/2312.00063","https://github.com/EricGuo5513/momask-codes","T2M-GPT, MDM, MLD, T2M","Residual VQ-VAE + Masked + Residual Transformer; CLIP","LI CHENG (supervisor) is a co-author; near-real-time parallel decoding","Quantitative metrics on HumanML3D/KIT-ML vs token + diffusion baselines","Executor","yes","no","no","yes","full-body-motion"
"5. Real-time / streaming motion","41","MotionLCM: Real-time Controllable Motion Generation via Latent Consistency Model","Wenxun Dai et al.","ECCV 2024","2024-04-30","Distill a motion latent diffusion model into a latent consistency model for 1-4 step inference; motion ControlNet in latent space","HumanML3D","FID, R-Precision (Top-3), AITS (avg inference time)","First latent-consistency formulation for motion -> controllable text-to-motion in real time with one-step sampling","1-step AITS 0.030 s (>30 FPS); 1929x faster than OmniControl, 13x faster than MLD; 1-step FID 0.467, R-Prec 0.803","https://arxiv.org/abs/2404.19759","https://github.com/Dai-Wenxun/MotionLCM","MLD, MotionDiffuse, MDM, T2M, TEMOS, OmniControl","VAE latent + latent consistency model + motion ControlNet","Explicitly real-time (one-step); strongest 'language-conditioned motion under a compute budget' reference","FID/R-Prec on HumanML3D + runtime (AITS) vs diffusion baselines","Executor","yes","yes","no","yes","full-body-motion"
"5. Real-time / streaming motion","42","DartControl (DART): A Diffusion-Based Autoregressive Motion Model for Real-Time Text-Driven Motion Control","Kaifeng Zhao et al. (ETH Zurich)","ICLR 2025","2024-10-07","Compact latent motion-primitive space conditioned on motion history + text; autoregressively denoise primitives (10 steps) for online streaming; spatial goals via latent optimization or RL","BABEL, HumanML3D, AMASS","FID (segment/transition), R-Precision, FPS/latency, human preference","Real-time ONLINE text-driven motion control combining AR motion primitives + latent diffusion; streaming text + spatial constraints without paired data","300 FPS on one RTX 4090 (240 FPS w/ RL); first-frame latency 0.02 s; ~10x faster than FlowMDM; segment FID 3.79 (vs 5.81)","https://arxiv.org/abs/2410.05260","https://github.com/zkf1997/DART","FlowMDM, TEACH, DoubleTake, T2M-GPT, DNO, OmniControl, GAMMA","VAE primitive compression + latent diffusion (DDIM 10) + CLIP","Real-time AND streaming (online text stream); closest match to 'streaming AR text-to-motion under latency'","Composition/in-between benchmarks + runtime + human preference","Executor","yes","yes","no","yes","full-body-motion"
"5. Real-time / streaming motion","43","T2M-GPT: Generating Human Motion from Textual Descriptions with Discrete Representations","Jianrong Zhang et al.","CVPR 2023","2023-01-15","CNN VQ-VAE discretizes motion into tokens (EMA + code reset); a GPT transformer autoregressively generates tokens from text","HumanML3D, KIT-ML","FID, R-Precision","Shows a simple discrete-token VQ-VAE + GPT pipeline beats contemporaneous diffusion methods","HumanML3D FID 0.116 (vs MotionDiffuse 0.630); R-Precision comparable to best","https://arxiv.org/abs/2301.06052","https://github.com/Mael-zys/T2M-GPT","MotionDiffuse, MDM, TM2T","CNN VQ-VAE + GPT; CLIP","Seminal AR token-based motion model; the lineage MotionStreamer/MotionGPT build on","FID/R-Precision on HumanML3D + KIT-ML","Executor","yes","no","no","no","full-body-motion"
"5. Real-time / streaming motion","44","MotionGPT: Human Motion as a Foreign Language","Biao Jiang et al. (Fudan / Tencent)","NeurIPS 2023","2023-06-26","VQ-VAE motion tokens + a unified motion-language model (T5) on mixed motion-text data; instruction/prompt-based QA across tasks","HumanML3D, KIT-ML","FID, R-Precision, captioning metrics","Treats motion as a language modality in one LLM, unifying generation, captioning, prediction, in-betweening","— (SOTA across tasks; per-task numbers not extracted)","https://arxiv.org/abs/2306.14795","https://github.com/OpenMotionLab/MotionGPT","T2M-GPT, MDM, MLD, TM2T","VQ-VAE tokenizer + T5","Discrete-token LLM-style motion model; 'command-as-language' framing aligns with our NL spine","Multi-task eval on HumanML3D/KIT-ML","Executor","yes","no","no","no","full-body-motion"
"5. Real-time / streaming motion","45","CrowdMoGen: Event-Driven Collective Human Motion Generation (Zero-Shot Text-Driven Collective Motion)","Yukang Cao et al. (NTU S-Lab)","IJCV 2025","2024-07-08","Two-stage zero-shot: an LLM Crowd Scene Planner groups individuals + assigns event-aligned plans; a transformer Collective Motion Generator (SMPL priors) synthesizes the crowd","— (zero-shot; no standard training table)","— (qualitative + user study)","First zero-shot framework for COLLECTIVE/CROWD motion from text — multi-person interaction, large-scale dynamics, scene arrangement","— (three crowd-motion types demoed; no numbers)","https://arxiv.org/abs/2407.06188","https://github.com/gxinying/CrowdMoGen","— (zero-shot)","Pre-trained LLM (planning) + transformer crowd generator (SMPL)","SINGLE most on-theme for crowd-motion embodiment; explicitly motivated by games + urban sim","Qualitative crowd scenarios; LLM-planned scene coherence","Coordination","yes","no","yes","no","full-body-motion"
"5. Real-time / streaming motion","46","Towards Open Domain Text-Driven Synthesis of Multi-Person Motions","Mengyi Shan et al.","ECCV 2024","2024-05-28","MDM-style transformer diffusion with interleaved pose/motion layers; trained jointly on heterogeneous + 2 new pseudo-labeled datasets for variable-count multi-person motion","LAION-Pose (8M, new), WebVid-Motion (3,500, new), HumanML3D, InterHuman","Pose/Motion FID, R-Precision, Diversity","First open-domain text-to-MULTI-PERSON motion; scales beyond fixed two-person setups via web-mined supervision","Up to 61 frames / 10 subjects; Pose FID 1.329, Motion FID 1.220, Pose R-Prec@1 0.539","https://arxiv.org/abs/2405.18483","https://github.com/shanmy/Multi-Motion","RIG, InterGen, ComMDM","Transformer (MDM-based), interleaved pose+motion, CLIP","Multi-character (up to 10, any count) text-driven — complements CrowdMoGen on the crowd axis","Pose/Motion FID + R-Precision vs multi-person baselines","Coordination","yes","no","yes","no","full-body-motion"
"5. Real-time / streaming motion","47","Light-T2M: A Lightweight and Fast Model for Text-to-Motion Generation","Ling-An Zeng et al. (Sun Yat-sen Univ.)","AAAI 2025","2024-12-15","Diffusion text-to-motion combining lightweight convolutions (local) + Mamba state-space blocks (global) + an Adaptive Textual Information Injector","HumanML3D, KIT-ML","FID, R-Precision, MM-Dist, inference time, param count","Extreme parameter/compute efficiency: ~10% of MoMask's params while improving quality + speed","4.48M params (vs 44.85M MoMask); 0.152 s/sample (vs 0.180 s); HumanML3D FID 0.040; KIT-ML FID 0.161","https://arxiv.org/abs/2412.11193","https://github.com/qinghuannn/light-t2m","MoMask, T2M-GPT, MotionDiffuse, ReMoDiffuse","Lightweight CNN + Mamba (SSM); adaptive text injector","Language-conditioned motion under a compute/memory budget — fits our latency/memory framing","FID/R-Prec on HumanML3D/KIT-ML + params + wall-clock","Executor","yes","no","no","yes","full-body-motion"
"6. Language-conditioned MARL / coordination","48","Feudal Multi-Agent Hierarchies for Cooperative Reinforcement Learning","Sanjeevan Ahilan, Peter Dayan (Gatsby / MPI)","arXiv (ALA 2019 workshop)","2019-01-24","A 'manager' learns to communicate subgoals (messages defining worker reward functions) to multiple workers acting simultaneously","Cooperative gridworld / particle tasks","—","Feudal hierarchy for cooperative MARL: a high-level commander sets per-worker goals via communication, reducing non-stationarity","— (scales better than shared-reward cooperative baselines)","https://arxiv.org/abs/1901.08492","—","Shared-reward cooperative approaches","Deep RL (no LLM)","Seminal commander->many-workers goal-setting hierarchy; the pattern we generalize to language","Reward + scaling vs shared-reward baselines","Coordination","no","no","yes","no","other"
"6. Language-conditioned MARL / coordination","49","Hierarchical reinforcement learning with natural language subgoals","Arun Ahuja et al. (DeepMind / NYU)","arXiv","2023-09-20","A high-level policy issues natural-language subgoals to a low-level policy in a 3D embodied env; subgoal space softly supervised by human data","3D embodied env (Playroom-style)","Task success","Unconstrained natural language as the high-level->low-level subgoal interface, parameterized from human data (not a fixed goal set)","— (beats BC and HRL-from-scratch)","https://arxiv.org/abs/2309.11564","—","Behavioral cloning; HRL from scratch","High-/low-level neural policies","Direct model for 'abstract language command -> low-level execution' (single-agent)","vs BC + unsupervised-HRL on long-range embodied tasks","Executor","yes","no","no","no","other"
"6. Language-conditioned MARL / coordination","50","Hierarchical Multi-Agent Skill Discovery (HMASD)","Mingyu Yang et al. (USTC)","NeurIPS 2023","2023","Two-level: a transformer 'skill coordinator' assigns one team skill + per-agent skills; a low-level 'skill discoverer' picks actions conditioned on the skill","Sparse-reward MARL benchmarks (SMAC-class)","Win rate / return","Jointly discovers team-level + individual skills, coordinated by a transformer high-level controller (a learned commander)","— (significant gains over strong MARL baselines)","https://proceedings.neurips.cc/paper_files/paper/2023/hash/c276c3303c0723c83a43b95a44a1fcbf-Abstract-Conference.html","—","Strong MARL baselines (QMIX-class)","Transformer high-level skill coordinator","Closest RL-native analogue of a commander assigning coordinated goals to many agents","vs MARL baselines on sparse-reward cooperative tasks","Coordination","no","no","yes","no","game-units"
"6. Language-conditioned MARL / coordination","51","Language Instructed Reinforcement Learning for Human-AI Coordination (instructRL)","Hengyuan Hu, Dorsa Sadigh (Stanford)","ICML 2023","2023-04-13","A pretrained LLM generates a prior policy from a human NL instruction; the prior regularizes the RL objective toward a human-preferred equilibrium","Hanabi; a matrix coordination env","Human-AI coordination score (human eval)","Natural-language instruction selects among multiple equilibria in cooperative RL — language steers which convention agents adopt","— (language significantly boosts human-AI coordination in Hanabi)","https://arxiv.org/abs/2304.07297","—","RL without language prior","Pretrained LLM as policy prior","Language as the lever to align coordination with the commander's intent","Self-play + human eval on Hanabi","Coordination","yes","no","yes","no","other"
"6. Language-conditioned MARL / coordination","52","SwarmBrain: Embodied agent for real-time strategy game StarCraft II via LLMs","Xiao Shao et al.","arXiv","2024-01-31","Two-tier: an LLM 'Overmind' sets macro strategy; a 'Swarm ReflexNet' state machine handles low-latency unit tactics, compensating for LLM latency","StarCraft II (Zerg vs built-in Terran)","Win rate vs built-in AI","LLM-orchestrated macro command + reactive reflex layer for a real-time RTS, engineered around the LLM latency tradeoff","Victories across difficulties (secondary source: 100% to Medium-Hard, 76% Hard — UNCONFIRMED on primary page)","https://arxiv.org/abs/2401.17749","https://github.com/ramsayxiaoshao/SwarmBrain","Built-in SC2 AI ladder","gpt-3.5-turbo (Overmind)","Direct precedent: high-level intent -> coordinated army in real-time RTS under LLM latency","Live matches vs built-in AI at multiple difficulties","Coordination","na","yes","yes","yes","game-units"
"6. Language-conditioned MARL / coordination","53","LLM-PySC2: StarCraft II Learning Environment for Large Language Models","Zongyuan Li et al. (NKAI Decision Team)","arXiv","2024-11-08","Env exposing the full pysc2 action space to LLM agents (multimodal obs + game-wiki knowledge); native multi-agent via an async query architecture keeping latency consistent with population size","StarCraft II / pysc2; SMAC + new macro/micro scenarios","Decision performance (macro/micro)","First env giving LLMs the complete pysc2 action space with native multi-agent control; async design targets real-time scalability","— (LLMs show potential but struggle with hallucinations + inefficient collaboration without instructions)","https://arxiv.org/abs/2411.05348","https://github.com/NKAI-Decision-Team/LLM-PySC2","Traditional SMAC tasks","Pretrained LLMs","Multi-agent LLM commander testbed with explicit latency-vs-scale handling — near-exact Phase-1 wedge (already vendored in our bench repo)","Macro-decision + micro-operation SC2 scenarios, multi-agent","Coordination","na","yes","yes","yes","game-units"
"6. Language-conditioned MARL / coordination","54","ICCO: Learning an Instruction-conditioned Coordinator for Language-guided Task-aligned Multi-robot Control","Yoshiki Yano et al. (NAIST)","IROS 2025","2025-03-15","MARL with one Coordinator + multiple Local Agents; the Coordinator fuses instruction + state into Task-Aligned Consistent Instructions, trained with a task+adherence reward + a mutual-information consistency term","Sim + real multi-robot","Task efficiency; instruction adherence","A learned instruction-conditioned coordinator between one language command and many robots, enforcing task-alignment + consistency","—","https://arxiv.org/abs/2503.12122","— (yanoyoshiki.github.io/ICCO)","—","MARL policies (no LLM backbone stated)","Centralized-command / decentralized-execution with language — the single-command -> coordinated many-agent interface","Sim + real-world multi-robot experiments","Coordination","yes","no","yes","no","robot"
"6. Language-conditioned MARL / coordination","55","Language-Driven Coordination and Learning in Multi-Agent Simulation Environments (LLM-MARL)","Zhengyang Li et al.","arXiv","2025-06-01","Integrate LLMs into MARL via Coordinator (subgoals), Communicator (symbolic messaging), Memory (episodic recall); PPO + a language-conditioned loss + LLM-query gating","Google Research Football, MAgent Battle, StarCraft II","Win rate; coordination score; zero-shot generalization","Unified LLM-MARL stack: LLM subgoals + symbolic comm drive coordination; gating limits costly LLM queries (real-time)","— (consistent improvements over MAPPO and QMIX)","https://arxiv.org/abs/2506.04251","—","MAPPO, QMIX","LLM + PPO policies","Coordinator issues subgoals to many agents on RTS-style benchmarks incl. SC2 + MAgent (large populations)","Win rate / coordination / zero-shot vs MAPPO + QMIX","Coordination","na","yes","yes","yes","game-units"
"6. Language-conditioned MARL / coordination","56","SMAC-Talk: A Natural Language Extension of the StarCraft Multi-Agent Challenge for LLMs","Sol & Najjaran","arXiv","2026-06-02","Adds a natural-language communication channel over SMAC, with an embedded deceptive communicator; benchmarks LLM agents","SMAC + NL comm channel","— (SMAC win/return + comm robustness)","NL-MARL StarCraft benchmark with a deceptive-communication element","—","https://arxiv.org/abs/2606.04202","—","—","Qwen-family models","A 2026 NL-MARL StarCraft benchmark — directly our command-of-units-via-language setting","SMAC tasks with a natural-language channel","Coordination","yes","no","yes","no","game-units"
"7. Controllable / steerable generative motion","57","OmniControl: Control Any Joint at Any Time for Human Motion Generation","Yiming Xie et al. (Northeastern)","ICLR 2024","2023-10-12","Text-conditioned motion diffusion + analytic spatial guidance + a ControlNet-style realism branch enforcing arbitrary joint constraints","HumanML3D, KIT-ML","FID, R-Precision, foot-skating, control error (cm)","First single model to accept flexible spatial control over ANY joint at ANY time (not just pelvis)","~FID 0.218, avg error ~3.38 cm (pelvis, via TLControl comparison); ~1.6 FPS (slow)","https://arxiv.org/abs/2310.08580","https://github.com/neu-vi/OmniControl","MDM, PriorMDM, GMD","Diffusion (MDM) + ControlNet-like spatial guidance","Steered by spatial keypoint constraints on any joint subset at any time","HumanML3D/KIT-ML FID/R-Prec + per-joint error + ablations","Executor","yes","no","no","yes","full-body-motion"
"7. Controllable / steerable generative motion","58","Guided Motion Diffusion for Controllable Human Motion Synthesis (GMD)","Korrawe Karunratanakul et al. (ETH Zurich)","ICCV 2023","2023-05-21","Motion diffusion with feature-projection + dense-guidance turning sparse keyframe/trajectory signals into dense guidance","HumanML3D","FID, R-Precision, control error","Feature projection coupling spatial info with poses + dense guidance for reliable sparse-constraint satisfaction","— (improves over T2M SOTA while enabling spatial control; ~1.8 FPS)","https://arxiv.org/abs/2305.12577","https://github.com/korrawe/guided-motion-diffusion","MDM, prior diffusion T2M","Diffusion over root trajectory + motion, guidance","Steered by global trajectory, sparse keyframes, obstacle/goal functions","HumanML3D FID/R-Prec + task-specific control error","Executor","yes","no","no","yes","full-body-motion"
"7. Controllable / steerable generative motion","59","TLControl: Trajectory and Language Control for Human Motion Synthesis","Weilin Wan et al. (HKU / UPenn)","ECCV 2024","2023-11-28","Body-part VQ-VAE latent + a Masked Trajectories Transformer for coarse estimation, then test-time optimization to refine to exact trajectories","HumanML3D, KIT-ML","FID, R-Precision, control error (cm), FPS","Joint low-level trajectory + high-level language control via hybrid neural+optimization; precise multi-joint control at interactive speed","Pelvis FID 0.271, avg error 1.08 cm (vs OmniControl 3.38); runs 61.7 FPS (~38x faster)","https://arxiv.org/abs/2311.17135","https://tlcontrol.weilinwl.com/","OmniControl, GMD, PriorMDM, MDM","VQ-VAE + Masked Trajectories Transformer + optimization","Steered by partial multi-joint trajectories + text; REAL-TIME (61.7 FPS)","HumanML3D/KIT-ML realism + control error + runtime","Executor","yes","yes","no","yes","full-body-motion"
"7. Controllable / steerable generative motion","60","Generating Human Interaction Motions in Scenes with Text Control (TeSMo)","Hongwei Yi et al. (NVIDIA / MPI)","ECCV 2024","2024-04-16","Two-stage diffusion: a scene-agnostic goal-reaching text-to-motion model, then a scene-aware branch fine-tuned with floor + object geometry","AMASS-derived + scene-augmented (navigation + sitting)","—","Brings text controllability + scene/object awareness into kinematic motion diffusion","— (diverse plausible human-scene interactions; no numbers in abstract)","https://arxiv.org/abs/2404.10685","https://github.com/nv-tlabs/tesmo","— (TRUMANS/LINGO-class per related work)","Diffusion (scene-agnostic base + scene-aware branch)","Steered by text + start/goal positions + scene geometry","— (qualitative; protocol not in abstract)","Executor","yes","no","no","no","full-body-motion"
"7. Controllable / steerable generative motion","61","Flexible Motion In-betweening with Diffusion Models (CondMDI)","Setareh Cohan et al. (UBC; van de Panne)","SIGGRAPH 2024","2024-05-17","Masked conditional motion diffusion trained on random keyframes + random joints, with an observed-keyframe mask; guidance + imputation at inference","HumanML3D","—","One unified model handling arbitrary dense-or-sparse keyframe placement + PARTIAL per-joint keyframe constraints, jointly with text","— (precise diverse motions to flexible keyframes)","https://arxiv.org/abs/2405.11126","https://github.com/setarehc/diffusion-motion-inbetweening","— (prior in-betweening/imputation diffusion)","Masked conditional diffusion","Steered by keyframes (dense/sparse), partial per-joint constraints, text","HumanML3D keyframe-conditioned; guidance vs imputation","Executor","yes","no","no","no","full-body-motion"
"7. Controllable / steerable generative motion","62","Motion Synthesis with Sparse and Flexible Keyjoint Control (SFControl)","Inwoo Hwang et al. (Seoul National Univ.)","ICCV 2025","2025-03-18","Decomposed diffusion: synthesize keyjoint trajectories from sparse signals, then full-body motion from the completed keyjoints","— (multiple motion datasets)","—","TIME-AGNOSTIC sparse-keyjoint control (no frame-specific timing annotations) — animator-friendly","—","https://arxiv.org/abs/2503.15557","http://inwoohwang.me/SFControl","— (OmniControl-style dense control as motivation)","Two-stage diffusion (keyjoint -> full body)","Steered by sparse keyjoint positions without timing — more flexible than dense trajectories","— (experiments across datasets; protocol not in abstract)","Executor","no","no","no","no","full-body-motion"
"7. Controllable / steerable generative motion","63","SMooDi: Stylized Motion Diffusion Model","Lei Zhong et al. (Northeastern)","ECCV 2024","2024-07-17","Adapt a pretrained text-to-motion diffusion model for stylization via style guidance + a lightweight style adaptor steering toward a reference style","HumanML3D (content) + 100STYLE (style)","FID, R-Precision, SRA (style accuracy), foot-skating","Jointly generates across broad CONTENT (text) and diverse STYLE (reference) in one diffusion model","Stylized T2M FID 1.609 (vs 6.127 MLD+Motion Puzzle); SRA 72.42% (vs 63.77%)","https://arxiv.org/abs/2407.12783","https://github.com/neu-vi/SMooDi","MLD+Motion Puzzle, MLD+Aberman, ChatGPT+MLD","Latent diffusion (MLD) + style adaptor + style guidance","Steered by content text + a reference style sequence — style control (relevant to abstract 'look menacing')","HumanML3D+100STYLE: content (R-Prec), style (SRA), realism (FID)","Executor","yes","no","no","no","full-body-motion"
"7. Controllable / steerable generative motion","64","Taming Diffusion Probabilistic Models for Character Control (CAMDM)","Rui Chen et al. (Tencent AI Lab; Komura, Tan)","SIGGRAPH 2024","2024-04-23","A transformer Conditional Autoregressive Motion Diffusion Model: given motion history + coarse user control, generate diverse future motion in real time","— (diverse locomotion mocap)","—","First diffusion model for REAL-TIME interactive character control from high-level user input; one unified multi-style model","— (real-time, high-quality, diverse, multi-style)","https://arxiv.org/abs/2404.15121","https://github.com/AIGAnimation/CAMDM","—","Autoregressive transformer diffusion (history-conditioned)","Steered ONLINE by joystick-style high-level control (direction/speed) + style — closest to real-time COMMAND of generative motion","— (qualitative real-time control demos)","Executor","no","yes","no","no","full-body-motion"
"8. Crowd behaviour / coordination","65","Text-Guided Synthesis of Crowd Animation","Xuebo Ji et al. (HKU; LightSpeed Studios)","SIGGRAPH 2024","2024-07","LLM canonicalizes a text script into per-group sentences; two conditional latent-diffusion models predict agent start/goal + guiding velocity fields; a local RVO navigator drives the groups","Custom constructively-generated dataset","— (qualitative; 8 environments)","First pipeline for language-guided generation of environment-compatible crowd scenarios with many agents navigating in real time","—","https://dl.acm.org/doi/10.1145/3641519.3657516","https://github.com/MLZG/Text-Crowd","—","Latent diffusion + LLM canonicalization + RVO","CLOSEST crowd analog: language -> real-time group/formation crowd control","Qualitative over 8 environments incl. unseen + novel descriptions","Coordination","yes","yes","yes","no","full-body-motion"
"8. Crowd behaviour / coordination","66","Continuous Locomotive Crowd Behavior Generation (CrowdES)","Inhwan Bae et al. (GIST)","CVPR 2025","2025-04-07","A diffusion 'Crowd Emitter' continually spawns individuals with per-agent attributes; a 'Crowd Simulator' produces long-term locomotion + a Markov chain for diverse actions","Multiple real geographical environments","Scene-level population dynamics + individual trajectory accuracy (proposed benchmark)","Generates continuous, ongoing crowd behaviour (not a snapshot) with heterogeneous, user-controllable agents","—","https://arxiv.org/abs/2504.04756","https://github.com/InhwanBae/CrowdES","—","Diffusion (emitter) + Markov chain","Scene-level controllable crowd generation; continuous-in-time + a realism benchmark","Scene + individual realism benchmark; cross-environment generalization","Coordination","no","no","yes","no","other"
"8. Crowd behaviour / coordination","67","CEDRL: Simulating Diverse Crowds with Example-Driven Deep Reinforcement Learning","Andreas Panayiotou et al. (Univ. Cyprus / CYENS)","Eurographics 2025 (CGF)","2025-05","Deep RL leveraging multiple real crowd datasets, with curriculum (shrinking observation space) + parametric task-typed reward functions to learn diverse abstract behaviours","Multiple real-world crowd datasets","Generalization; a behavioural-complexity metric; vs other simulators","Example-driven multi-dataset RL learning a broad behaviour spectrum without large labels + a complexity metric","—","https://doi.org/10.1111/cgf.70015","https://github.com/veupnea/CEDRL","Other crowd simulators","RL policy with a complexity-weight parameter","RL for crowd BEHAVIOUR (not physics locomotion) — the RL-on-our-turf crowd line; real-time controllability","Seen/unseen real-data comparison + controllability via complexity weight","Coordination","no","yes","yes","no","other"
"8. Crowd behaviour / coordination","68","GREIL-Crowds: Crowd Simulation with Deep Reinforcement Learning and Examples","Panayiotis Charalambous et al. (CYENS / Inria / UPC)","ACM ToG (SIGGRAPH 2023)","2023-08","Deep RL guided by reference crowd data; reward keeps agents in 'comfortable' states defined by distributions (e.g. neighbour spacing) from real crowds","Real crowd data","—","Example-guided RL reward from real-crowd comfort distributions; reproduces goal-seeking, grouping, wandering","—","https://doi.org/10.1145/3592459","—","—","Deep RL (comfort-distribution state)","Foundational data-driven RL crowd-behaviour paper; emergent group coordination from data (predecessor to CEDRL)","Behaviour reproduction vs reference real crowds","Coordination","no","no","yes","no","other"
"8. Crowd behaviour / coordination","69","Gen-C: Populating Virtual Worlds with Generative Crowds","Andreas Panayiotou et al. (CYENS / Clemson)","arXiv (ACM proc.)","2025-04-02","A dual Variational Graph Autoencoder, conditioned on text via LLMs, generates crowd scenarios as time-expanded graphs encoding agent actions + interactions","LLM-bootstrapped scenarios (Campus, Train Station)","—","Generative crowd framework via time-expanded graph + dual-VGAE capturing high-level decisions + interactions, text-conditioned","—","https://arxiv.org/abs/2504.01924","—","—","Dual VGAE + LLM conditioning","Language/text-conditioned scene-level crowd authoring with interaction modelling","Qualitative across diverse scenarios","Coordination","yes","no","yes","no","other"
"8. Crowd behaviour / coordination","70","Emergent Crowds Dynamics from Language-Driven Multi-Agent Interactions","Yibo Liu et al. (Univ. Victoria)","arXiv","2025-08-20","Decentralized agent-based crowd where each agent uses an LLM for dialogue + language-driven navigation from perception, personality, emotion, relationships","—","—","LLM-controlled per-agent dialogue + navigation with personality/emotion conditioning -> emergent grouping/ungrouping","—","https://arxiv.org/abs/2508.15047","—","—","LLMs (per agent)","Language-conditioned DECENTRALIZED crowd coordination; agents negotiate via dialogue","Two scenarios showing emergent grouping/ungrouping","Coordination","na","no","yes","no","other"
"8. Crowd behaviour / coordination","71","CrowdVLA: Embodied Vision-Language-Action Agents for Context-Aware Crowd Simulation","Juyeong Hwang et al.","arXiv","2026-04-07","VLA agents interpret scene semantics from vision + language; a LoRA-fine-tuned VLM maps perception to motion-skill actions with exploration-based QA","—","—","Shifts crowd sim from geometry/collision-avoidance to perception-driven, consequence-aware decision making","—","https://arxiv.org/abs/2604.05525","—","—","Pretrained VLM + LoRA","Language-instructed perception-driven crowd agents; brings the VLA paradigm (cf. Diao's pi0 pointer) into crowds","— (not detailed)","Coordination","yes","no","yes","no","full-body-motion"
"8. Crowd behaviour / coordination","72","Understanding complex crowd dynamics with generative neural simulators (NeCS)","Koen Minartz et al. (TU Eindhoven)","Scientific Reports 2025","2024-12-02","A data-driven Neural Crowd Simulator trained on large real pedestrian data learning N-body interactions; used as a controllable surrogate","Large real-world crowd measurement data","Statistical crowd-dynamics features; pairwise-avoidance validation","Generative neural surrogate giving lab-like controllability at the statistical resolution of real data; recovers many-body avoidance","—","https://arxiv.org/abs/2412.01491","—","Known pairwise-avoidance experimental results","Neural generative simulator","Learned (not rule-based) collective crowd dynamics from data — the generative-simulator angle","Validation vs known statistical/physical crowd features","Coordination","no","no","yes","no","other"
"8. Crowd behaviour / coordination","73","RESCUE: Crowd Evacuation Simulation via Controlling SDM-United Characters","Xiaolin Liu et al. (Tianjin Univ. / Cardiff)","arXiv","2025-07-27","Real-time evacuation coupling a 3D-adaptive Social Force Model decision mechanism with personalized gait/motion control along a sensory-decision-motor pipeline","—","Visual realism; evacuation analysis (part-level force viz)","Unifies crowd-level decision (Social Force) with character-level personalized gait in one real-time system","—","https://arxiv.org/abs/2507.20117","— (cic.tju.edu.cn/.../RESCUE)","—","Social Force Model + personalized gait","Real-time multi-agent crowd coordination at behaviour+motion level (group decision drives individual gait)","Trajectory-planning validation + visual plausibility","Coordination","no","yes","yes","no","full-body-motion"
